BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,intIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,flush,ICacheMiss,DCacheMiss
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477271702,44254,263,17870
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.963139689,44258,260,6669
0,1,2,2,2,2,2,2,0,2,2,1,0,2,2,2,2,2,2,2,2,2,0.951905387,44255,253,4113
0,0,3,2,3,3,3,3,1,3,3,0,1,2,2,3,3,1,0,2,1,0,0.991261947,44257,259,3718
0,0,4,1,2,4,4,4,1,4,2,0,1,0,1,2,0,2,2,1,0,2,0.847330806,44269,260,6246
0,1,5,0,3,4,4,3,0,1,0,1,0,1,0,3,3,0,1,0,2,1,1.100012804,44259,270,21710
0,1,4,0,1,3,3,2,0,4,3,1,0,0,0,1,1,0,2,0,1,2,0.978468822,44265,268,20074
0,0,5,1,0,2,2,1,1,0,3,0,1,1,2,0,2,0,1,1,2,0,1.134418576,44255,259,6162
0,1,3,0,2,1,0,4,0,3,1,1,0,2,1,0,2,1,0,0,0,1,1.078971405,44258,262,20330
0,0,2,1,1,0,1,3,1,2,0,0,1,2,0,1,1,2,0,2,0,0,1.392982997,44253,251,3811
0,1,0,2,0,1,4,0,1,2,1,1,1,0,2,3,0,1,2,2,2,1,1.064442812,44253,259,4082
0,0,1,2,3,0,0,2,1,1,2,0,1,1,1,2,3,2,1,0,0,2,1.426914413,44255,250,18012
0,0,1,0,2,2,1,0,0,4,0,1,0,1,2,3,2,2,0,1,1,2,1.204453217,44254,254,6779
0,1,0,1,3,3,2,4,0,0,1,0,1,1,1,1,3,2,2,1,1,1,1.11047774,44254,257,6193
0,0,2,0,0,4,3,1,1,3,2,1,0,2,1,2,0,0,1,2,1,1,0.915594493,44253,271,4078
0,0,3,1,1,2,0,0,1,3,2,1,0,0,0,1,1,1,2,1,2,2,1.155650467,44254,255,6619
0,0,5,2,1,4,1,4,1,0,3,1,0,0,2,2,1,1,0,2,0,0,1.062474629,44253,259,4300
0,0,4,2,3,1,2,1,0,4,0,0,0,0,0,0,3,1,0,2,2,2,1.174051342,44253,245,3697
0,1,1,1,0,3,3,4,1,1,0,1,0,0,0,0,2,2,2,2,2,0,1.025775149,44253,255,4063
0,0,5,1,2,0,3,2,1,0,1,1,0,2,0,3,1,1,2,1,0,2,1.395983801,44254,262,7166
0,1,4,2,0,0,1,3,1,4,1,1,0,2,2,1,2,0,2,1,2,1,1.37069544,44253,274,6677
0,0,2,0,3,2,4,0,1,1,3,1,1,2,1,0,0,1,0,0,1,1,1.210812431,44257,255,21574
0,0,0,0,2,3,1,1,1,2,2,1,0,1,1,0,3,0,1,0,0,0,1.190351349,44265,261,20150
0,0,3,0,0,4,2,2,1,2,0,1,0,1,1,0,0,0,0,1,2,1,1.010844784,44253,274,6640
0,0,0,1,1,2,3,3,1,3,1,1,0,1,1,2,3,2,0,2,0,2,1.024841389,44254,254,4321
0,0,5,1,1,1,0,3,1,4,2,1,0,0,1,3,0,2,1,2,1,0,1.071313295,44254,257,4191
0,0,2,1,1,1,2,4,1,0,2,1,0,0,0,3,3,0,0,0,0,1,1.19773646,44256,259,19590
0,0,4,1,2,2,0,1,1,2,3,1,0,1,2,3,3,2,2,0,1,0,1.104303556,44258,254,20459
0,0,1,1,3,4,4,0,1,3,0,1,0,2,0,2,2,0,1,2,0,0,1.134604783,44253,271,4510
0,0,3,1,1,0,4,1,1,0,3,1,0,0,1,0,1,2,1,2,1,1,1.383575199,44253,257,4160
0,0,0,1,3,4,1,2,1,3,1,1,0,2,1,1,1,2,0,2,0,0,0.891330806,44257,258,4334
0,0,1,1,2,3,2,3,1,1,3,1,0,0,2,1,0,2,0,2,0,0,1.021157643,44254,250,4250
0,0,2,1,0,3,0,0,1,4,1,1,0,1,1,2,3,2,0,1,0,2,1.175846301,44254,258,7149
0,0,4,1,1,1,3,0,1,0,3,1,0,0,1,2,2,2,1,2,0,0,1.210597372,44253,251,4465
0,0,5,1,0,3,4,0,1,3,1,1,0,0,1,1,1,2,0,2,0,0,1.153926862,44253,257,4504
0,0,0,1,3,0,2,4,1,3,3,1,0,0,1,1,1,2,1,2,0,0,1.393204211,44253,252,4560
0,0,3,1,3,1,1,2,1,4,3,1,0,0,1,2,0,2,0,2,0,0,1.047854088,44254,257,4329
0,0,0,1,3,4,0,3,1,4,3,1,0,0,1,0,2,2,0,2,0,0,0.861936817,44257,257,4255
0,0,4,1,3,2,2,4,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.023658966,44256,253,4330
0,0,4,1,3,2,2,0,1,3,3,1,0,0,1,0,1,2,0,2,0,0,1.130743558,44253,254,4411
0,0,1,1,3,2,4,2,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.123076061,44253,253,4292
0,0,4,1,3,2,3,3,1,0,3,1,0,0,1,0,1,2,0,2,0,0,1.12383975,44253,252,4270
0,0,4,1,3,2,3,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.130743558,44253,254,4411
0,0,4,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.156854005,44253,254,4399
0,0,0,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.156854005,44253,254,4399
0,0,1,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.130743558,44253,254,4411
0,0,3,1,3,2,2,0,1,1,3,1,0,0,1,0,1,2,0,2,0,0,1.156854005,44253,254,4399
0,0,5,1,3,2,2,0,1,2,3,1,0,0,1,0,1,2,0,2,0,0,1.130743558,44253,254,4411
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429984797,44254,266,17782
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.906748202,44254,259,6759
1,1,2,2,2,2,2,2,0,2,2,1,0,2,2,2,2,2,2,2,2,2,0.857130041,44253,256,4040
1,0,3,2,3,3,3,3,1,3,3,0,1,2,2,3,3,1,0,2,1,0,0.850259571,44259,267,3841
1,0,4,1,2,4,4,4,1,4,2,0,1,0,1,2,0,2,2,1,0,2,0.741199025,44261,265,6096
1,1,5,0,3,4,4,3,0,1,0,1,0,1,0,3,3,0,1,0,2,1,1.034880361,44258,274,21761
1,1,4,0,1,3,3,2,0,4,3,1,0,0,0,1,1,0,2,0,1,2,0.886861486,44265,269,19992
1,0,5,1,0,2,2,1,1,0,3,0,1,1,2,0,2,0,1,1,2,0,1.068524541,44256,263,6155
1,1,3,0,2,1,0,4,0,3,1,1,0,2,1,0,2,1,0,0,0,1,1.020458614,44256,261,20331
1,0,2,1,1,0,1,3,1,2,0,0,1,2,0,1,1,2,0,2,0,0,1.358418018,44253,255,3764
1,1,0,2,0,1,4,0,1,2,1,1,1,0,2,3,0,1,2,2,2,1,1.012270594,44253,260,3989
1,0,1,2,3,0,0,2,1,1,2,0,1,1,1,2,3,2,1,0,0,2,1.381965507,44254,257,17993
1,0,1,0,2,2,1,0,0,4,0,1,0,1,2,3,2,2,0,1,1,2,1.118747723,44253,264,6694
1,1,0,1,3,3,2,4,0,0,1,0,1,1,1,1,3,2,2,1,1,1,1.054366394,44254,261,6185
1,0,2,0,0,4,3,1,1,3,2,1,0,2,1,2,0,0,1,2,1,1,0.825331255,44253,274,4181
1,0,3,1,1,2,0,0,1,3,2,1,0,0,0,1,1,1,2,1,2,2,1.061560447,44253,263,6586
1,0,5,2,1,4,1,4,1,0,3,1,0,0,2,2,1,1,0,2,0,0,1.007673541,44556,266,4294
1,0,4,2,3,1,2,1,0,4,0,0,0,0,0,0,3,1,0,2,2,2,1.079551644,44254,250,3818
1,1,1,1,0,3,3,4,1,1,0,1,0,0,0,0,2,2,2,2,2,0,0.952353159,44253,258,4090
1,0,5,1,2,0,3,2,1,0,1,1,0,2,0,3,1,1,2,1,0,2,1.351941774,44253,265,7104
1,1,4,2,0,0,1,3,1,4,1,1,0,2,2,1,2,0,2,1,2,1,1.335296723,44253,277,6707
1,0,2,0,3,2,4,0,1,1,3,1,1,2,1,0,0,1,0,0,1,1,1.128191916,44257,257,21474
1,0,0,0,2,3,1,1,1,2,2,1,0,1,1,0,3,0,1,0,0,0,1.121352239,44261,268,20276
1,0,3,0,0,4,2,2,1,2,0,1,0,1,1,0,0,0,0,1,2,1,0.926440128,44254,273,6628
1,0,0,1,1,2,3,3,1,3,1,1,0,1,1,2,3,2,0,2,0,2,0.903282026,44256,258,4283
