BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area
1,0,3,2,1,3,2,4,0,1,2,1,0,1,0,0,3,2,0,1,1,0,0.958007686,18.47558,5840149.94
1,1,5,1,0,4,4,0,0,3,3,0,1,2,0,1,0,2,2,1,0,2,1.112377431,23.48926,6252947.586
2,0,0,1,1,3,1,1,1,2,1,1,1,0,1,1,3,0,1,1,1,1,1.241603726,17.25269,5691594.189
2,0,1,0,2,3,0,4,1,1,2,0,1,1,1,0,3,0,2,1,1,0,1.20474666,19.34437,5923639.865
0,1,1,0,3,0,1,3,1,0,1,1,0,0,2,2,0,1,2,0,0,1,1.385635855,18.06625,5550599.336
1,0,1,2,3,2,2,2,0,2,2,1,0,1,1,2,3,0,0,0,1,2,1.013666647,17.663608,5551908.292
0,0,2,0,0,2,2,3,0,2,2,1,0,0,2,1,2,0,1,2,2,1,1.065931633,14.43656,5510519.314
1,1,0,0,1,0,2,2,0,0,3,0,1,0,1,2,2,2,0,2,1,2,1.322712973,20.10302,5916627.875
1,0,2,0,0,0,2,1,0,0,3,1,1,0,2,0,1,1,1,0,1,0,1.382953036,13.355002,5055910.991
2,0,5,1,1,0,1,4,0,0,0,1,1,0,1,0,1,0,1,2,1,0,1.473063342,13.68776,5091485.104
1,0,1,0,3,3,2,3,1,3,2,1,0,2,1,3,2,1,0,2,1,1,0.894652764,21.8246,6697888.666
1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,3,3,2,1,1,0,1,0.927468722,20.29449,6125436.496
0,1,1,1,1,2,2,4,0,1,1,1,0,2,1,1,3,1,0,1,1,2,0.979462818,15.91359,5598858.695
0,0,0,2,1,3,1,2,0,3,1,1,0,1,2,1,1,0,0,1,0,2,1.148175402,14.840363,5414185.744
2,0,1,0,3,1,1,2,0,1,0,0,1,2,1,3,2,2,2,2,0,0,1.273854533,13.284468,5465245.136
0,0,1,0,0,0,3,1,1,0,1,1,0,2,2,2,1,0,0,1,1,0,1.401205971,10.999428,5141107.125
2,0,5,1,3,2,2,2,0,2,2,1,0,0,1,3,2,2,2,0,0,0,1.24578777,17.5195,5542932.903
2,0,5,1,3,3,0,1,0,3,1,0,0,2,2,0,3,0,1,0,0,1,1.29232496,17.45233,5393277.694
1,1,2,0,2,1,1,0,1,1,3,1,0,2,2,2,1,1,0,1,1,1,1.043444088,20.99495,6092537.642
0,0,5,1,1,3,1,4,1,1,3,0,0,2,2,3,2,0,1,1,2,1,1.049975981,17.95045,6051762.83
0,1,2,2,3,1,3,2,1,0,0,0,1,2,0,3,2,2,1,1,0,2,1.179106366,15.510571,5876678.358
0,1,3,1,0,4,4,2,0,4,2,1,1,0,0,3,0,0,0,1,0,1,0.933299314,19.13042,5927437.585
0,1,3,0,0,2,2,2,0,1,1,1,0,1,0,1,1,0,2,0,1,2,1.004773552,13.78489,5344264.946
0,1,0,0,2,0,3,0,1,0,0,1,1,0,0,1,2,0,1,2,0,0,1.379908542,14.647702,5604656.422
2,0,4,0,0,0,4,0,1,0,3,0,1,1,1,1,3,2,0,2,0,2,1.453677039,14.02232,5650718.827
1,1,5,0,1,4,4,2,1,4,2,1,1,2,0,3,0,0,2,2,2,0,0.750665617,28.545559,7154296.663
1,1,1,0,3,2,2,4,1,2,0,1,1,2,2,0,2,0,0,2,2,2,0.918857362,33.01099,6846501.979
0,1,1,2,2,3,2,3,1,0,3,1,1,1,1,3,3,1,0,0,1,0,1.07360334,19.10683,6134662.43
2,1,1,0,3,4,4,2,0,4,1,0,0,1,2,2,2,1,0,0,0,1,1.115090253,23.31664,6059708.479
2,0,5,0,0,2,2,1,1,2,3,1,1,2,0,1,1,2,2,2,1,1,1.155269737,15.311144,6048864.397
1,1,3,1,2,2,2,4,0,1,1,1,1,2,2,3,1,1,2,2,2,0,0.883997962,23.54677,6278851.99
1,0,5,0,1,1,1,4,0,1,1,0,0,0,0,1,2,2,1,1,0,0,0.994493648,14.89184,5476393.989
1,1,4,0,2,2,2,2,0,0,1,0,1,0,2,1,0,2,0,0,1,0,1.078879231,19.75532,5900074.812
1,0,3,1,2,1,4,1,0,1,0,0,0,0,1,3,2,0,1,0,0,0,1.151989243,15.33353,5198659.49
0,0,0,1,2,2,2,2,1,2,2,0,1,1,1,0,3,1,2,2,1,0,1.006533439,17.61372,6070104.471
1,0,4,2,0,2,2,4,1,1,0,1,0,1,1,1,3,0,2,1,1,2,1.032231231,17.55265,5744421.538
0,0,1,0,0,2,2,4,1,2,3,0,0,2,1,2,3,0,2,1,2,2,1.048141179,16.367352,5913406.871
0,1,3,1,1,1,2,3,1,1,3,1,1,2,1,2,0,2,1,1,0,0,0.939635821,17.43843,5981439.696
2,0,4,1,0,3,1,0,1,3,1,1,1,2,1,0,0,2,2,1,1,0,1.316364744,17.39642,5778246.694
2,0,4,0,1,1,4,0,0,0,1,0,1,1,2,2,0,0,1,0,1,2,1.395325798,12.20904,4958138.387
1,0,5,0,3,1,2,0,1,1,0,1,0,2,0,1,2,2,2,2,2,0,1.088422312,17.229311,6093238.685
1,0,0,1,1,1,3,2,0,0,3,1,0,1,1,0,1,2,2,1,0,1,1.115755881,14.238532,5451734.195
2,0,1,0,0,1,2,1,1,0,3,1,0,2,0,0,3,0,0,1,2,1,1.242134652,14.54037,5463252.547
0,0,2,2,0,0,4,0,0,0,0,1,0,1,0,0,2,1,2,2,1,0,1.413790947,10.206336,4959837.628
0,1,1,1,2,3,3,4,0,2,2,0,1,1,0,0,2,0,1,0,2,0,0.94675424,28.99835,6038534.065
1,1,0,0,1,1,3,4,1,1,2,1,1,2,2,0,3,1,0,0,2,1,0.913066611,23.48835,6214314.332
0,1,3,1,3,3,2,4,0,3,3,1,1,2,2,3,2,0,2,2,0,1,0.920255354,27.70118,6386624.723
0,1,5,2,2,4,4,2,0,1,2,0,1,2,1,1,2,1,0,0,1,0,0.964257178,15.989421,5830573.659
0,0,0,1,0,3,0,1,1,2,3,0,0,2,1,2,1,1,1,1,2,0,1.211271587,15.467543,5843947.293
0,0,0,0,2,0,0,1,0,0,2,1,1,1,2,3,3,1,0,2,1,1,1.383242747,12.049516,5109845.169
0,1,3,0,3,3,2,4,1,0,2,0,0,1,0,3,1,0,2,1,2,2,1.056480642,20.82823,6318622.964
0,0,4,1,2,1,1,4,0,1,0,1,1,2,0,2,0,0,0,2,2,2,1.158961963,14.300877,5359079.574
2,1,1,0,1,2,2,2,0,1,0,0,0,1,2,2,2,2,2,1,2,1,1.19555683,16.092027,5725860.193
0,1,0,0,3,0,1,1,0,0,3,0,0,2,0,1,1,0,2,1,2,0,1.373066163,13.692265,5231262.258
1,0,2,1,0,3,0,2,0,2,3,1,0,0,0,0,0,1,0,0,1,0,1.056960898,16.85995,5560257.955
0,1,3,2,1,1,4,2,0,1,0,0,0,0,1,0,2,2,2,0,2,1,1.146581602,14.151747,5487419.878
0,1,5,2,3,4,4,0,0,2,0,0,1,1,1,3,0,0,2,0,2,0,1.20472943,17.591067,5801853.015
0,1,5,2,1,0,2,2,0,0,1,1,0,1,0,1,1,2,0,1,1,2,1.373471185,13.23927,5345499.686
0,1,2,1,2,4,4,4,0,2,2,0,0,2,2,0,0,2,2,1,2,1,0.933410985,20.96092,6206334.85
2,1,0,0,1,3,2,0,0,3,0,0,0,0,0,2,3,2,1,1,0,0,1.243411569,18.22544,5745584.631
2,0,5,2,0,3,2,0,1,3,3,1,0,1,1,1,0,1,0,2,1,0,1.255647067,17.39706,6061004.111
0,0,5,2,0,0,4,2,0,0,1,1,1,2,0,0,1,2,0,1,1,0,1.393223602,10.72354,5105335.857
0,1,1,1,3,4,4,3,1,4,3,0,0,1,2,2,1,2,2,2,2,1,0.871127143,26.32547,7164345.356
2,0,3,0,1,2,2,4,1,2,3,1,0,1,0,0,2,0,1,1,1,1,1.158328169,16.653243,5854921.183
0,1,5,1,1,0,3,1,1,0,1,1,0,1,0,0,0,0,0,2,2,0,1.369829074,13.415706,5785089.039
0,0,2,0,3,0,2,3,1,0,2,0,0,0,1,1,2,1,2,1,2,2,1.395248069,15.72687,5557195.747
1,0,1,0,3,2,2,0,1,2,1,0,0,2,0,1,0,1,0,1,1,2,1.062652762,17.345191,5795920.386
