BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area,,,
0,0,2,1,3,0,3,4,0,0,0,0,1,2,1,0,2,1,2,0,0,1,1.461906917,12.114657,5043100.077,483,0.874138252,5664.969249
0,0,3,0,2,0,3,2,0,0,0,1,1,2,1,1,1,2,1,0,0,1,1.461818439,11.44591,5052928.905,456,0.866539448,5032.597378
0,0,0,0,1,0,0,1,0,0,3,1,0,1,2,0,3,2,1,0,0,1,1.443199201,11.205908,5009084.235,454,0.855351041,7542.196248
0,1,5,2,1,0,2,4,0,0,0,1,1,0,1,1,2,1,1,1,0,0,1.384559082,12.56709,5284882.982,440,0.865363496,6234.969441
0,1,5,2,1,0,4,3,1,0,0,0,1,1,0,2,0,1,2,1,0,2,1.382645124,14.303443,5683814.667,437,0.904683094,5940.467221
0,0,4,1,0,0,3,2,0,0,3,0,0,2,0,3,1,2,0,2,0,1,1.385477685,12.404269,5377521.977,431,0.86814372,7918.055312
0,1,0,1,2,0,4,2,0,0,3,0,1,1,1,1,3,1,2,1,0,1,1.362866816,14.090631,5379822.906,428,0.880991124,8902.155338
0,0,4,1,1,0,1,0,0,0,3,1,1,0,0,2,3,1,2,0,1,2,1.439493091,11.696176,4991794.469,396,0.859183345,7611.903254
0,1,4,0,1,0,0,1,0,0,2,1,1,1,2,2,0,1,2,0,0,2,1.377440841,12.78987,5185230.144,363,0.860903215,6839.229537
0,0,5,1,2,1,0,2,0,1,0,1,0,1,0,1,3,2,1,2,1,0,1.175889696,15.02903,5410202.147,294,0.831408223,5306.108221
0,1,2,0,1,0,2,4,1,0,1,1,1,0,1,0,3,1,0,0,2,0,1.369551454,18.13028,5631534.905,292,0.943826581,8768.717983
0,1,4,2,3,0,4,1,1,0,1,0,1,0,1,1,3,2,0,2,0,1,1.359364455,17.46125,6041730.874,286,0.952010089,6106.295527
0,1,0,1,1,1,4,4,0,0,0,1,1,0,2,3,3,2,2,1,2,0,1.20300774,17.10042,5698025.369,283,0.879117319,6853.394932
0,1,3,1,3,1,4,4,0,1,0,1,1,0,0,2,2,0,1,1,0,0,1.089690714,18.42297,5535005.901,269,0.849450751,7122.695889
0,1,2,2,2,1,1,0,0,1,3,0,1,2,0,3,3,1,1,0,2,1,1.142487122,19.02119,5563326.908,261,0.875594557,7253.350018
0,0,2,1,3,0,0,1,1,0,2,0,0,1,0,1,3,2,2,0,1,0,1.430208762,15.92042,5346770.154,260,0.923855584,8398.29919
0,0,4,0,1,0,1,2,0,0,2,1,0,1,2,0,2,2,1,2,1,1,1.384999,14.3685,5320563.274,253,0.888876497,7205.714487
0,0,0,0,3,0,2,0,0,0,3,1,1,1,1,2,2,0,2,2,1,2,1.387627691,15.11531,5161840.576,242,0.891138592,8430.914816
0,1,1,1,1,0,2,3,1,0,1,1,1,1,2,0,3,1,0,2,1,2,1.360069821,14.710803,5943799.304,224,0.914496286,8206.843115
0,1,3,0,3,0,2,4,0,0,1,1,0,2,1,2,0,1,0,2,0,1,1.371671421,16.62301,5568719.086,216,0.923409961,5805.848599
0,1,5,2,0,1,0,0,1,1,2,0,1,1,1,3,1,1,0,2,1,1,1.061920547,18.12986,6044912.923,209,0.861064503,12815.44488
0,0,5,2,3,0,3,4,1,0,0,0,0,1,2,3,3,1,0,0,1,1,1.461596268,17.47798,5476951.061,206,0.959271028,7273.540998
0,0,1,0,0,2,2,3,1,0,1,0,0,0,1,0,3,2,2,1,1,1,1.141568642,18.48234,5771176.847,204,0.87875471,6162.991801
0,0,3,0,0,0,4,4,0,0,0,0,0,2,2,2,3,2,1,0,0,0,1.471710768,12.90941,5095521.994,199,0.889473198,5773.772704
0,0,2,2,2,0,2,3,0,0,0,1,1,1,1,2,2,2,2,2,1,2,1.394686536,14.77148,5324585.604,186,0.897144786,5975.39499
0,1,1,0,3,2,2,0,0,2,3,1,1,1,1,0,1,0,0,2,1,0,1.077324735,22.57631,5773711.063,178,0.906682485,13086.42598
0,1,4,2,0,0,2,3,1,0,2,0,0,0,2,1,2,2,0,1,0,2,1.37038429,18.48674,5801002.786,178,0.956499766,10837.66412
0,1,4,0,3,1,0,4,0,1,2,1,1,0,1,1,2,0,2,1,1,2,1.019766659,19.02154,5557793.811,171,0.834434711,5755.743325
0,0,2,1,2,2,2,0,1,2,2,1,1,1,2,3,2,2,2,1,0,1,1.132440543,22.0236,5893151.744,165,0.924122063,14020.7207
0,0,3,1,0,0,4,4,0,0,2,1,0,2,0,1,1,0,0,0,0,0,1.441466779,13.8632,4941951.373,165,0.883514972,5801.142233
0,1,2,0,2,0,0,4,1,0,1,1,1,1,2,0,1,2,2,1,1,1,1.359218273,17.59096,5825527.206,157,0.943183359,8596.104557
0,0,2,1,1,1,4,4,1,1,0,1,1,2,1,2,1,0,2,0,1,0,1.198313468,17.0226,5475766.419,156,0.86599012,5762.703119
0,0,2,1,2,1,2,0,0,0,3,0,1,1,2,0,1,2,2,0,1,0,1.301918046,12.871857,5247787.75,154,0.839715848,10364.99226
0,0,3,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,1,2,2,0,1.032095304,18.83518,5929898.247,154,0.854104143,9252.049741
0,1,1,1,3,0,1,1,0,0,3,1,1,1,2,3,1,1,2,1,1,0,1.363639262,17.48921,5362621.314,150,0.921290891,9124.514399
0,1,1,2,3,2,2,0,0,2,0,0,1,0,0,0,3,0,1,2,0,2,1.092729549,20.93008,5622887.651,141,0.884813516,6390.057207
0,1,0,2,0,0,3,0,0,0,3,0,0,0,2,0,1,0,2,1,1,2,1.378952465,14.66532,5171785.929,134,0.883318433,5865.692566
0,0,0,1,3,2,2,3,1,0,2,1,0,1,0,3,0,1,2,1,0,2,1.139195714,20.77249,5884254.369,131,0.910909493,7969.146306
0,0,1,0,3,0,4,0,0,0,0,0,0,1,2,3,1,0,0,1,2,0,1.419720116,14.66611,5032475.762,129,0.890252291,6383.17777
0,1,4,2,2,1,4,2,1,1,0,0,0,1,2,1,1,0,0,0,2,1,1.119785154,16.640265,5742853.89,128,0.847998525,7244.859555
0,0,5,2,1,1,3,3,1,1,1,0,0,2,0,2,1,1,2,1,1,1,1.074478341,17.87328,5699255.243,126,0.845635754,7253.687983
0,1,2,1,3,0,4,4,0,0,2,1,1,2,1,2,3,1,1,2,0,0,1.36087292,18.00879,5593593.819,123,0.937666123,7671.253114
0,0,3,1,3,0,4,3,0,0,1,0,1,1,1,3,2,1,2,1,0,1,1.386338142,12.850013,5176214.432,120,0.864169523,6301.579532
0,0,1,0,2,2,2,4,1,2,3,1,1,1,1,3,2,0,0,1,0,1,1.021551912,23.78544,6065202.924,118,0.916577582,25195.32159
0,0,4,0,1,0,4,1,0,0,1,1,0,0,2,0,2,1,2,1,2,2,1.395158368,11.93241,5071705.945,115,0.851079186,5721.979915
0,1,0,2,1,0,3,1,0,0,2,1,1,0,0,2,1,1,2,0,0,1,1.37607911,15.43382,5210047.485,113,0.893431982,7042.017605
0,1,1,0,3,0,1,3,1,0,1,1,0,0,2,2,0,1,2,0,0,1,1.385635855,18.06625,5550599.336,110,0.944555144,7698.295392
0,1,2,2,3,0,4,4,1,0,3,1,1,1,1,3,1,0,0,1,2,0,1.359215541,22.86005,6015688.405,110,1.015628147,18224.99456
0,0,2,1,0,1,0,3,0,1,1,1,1,1,1,1,2,0,0,1,2,0,1.099704261,14.94687,5179613.123,109,0.794006744,6263.455501
0,1,1,0,2,2,2,4,0,0,3,1,1,0,0,0,1,0,2,2,1,0,1.090489122,21.31501,5812673.263,107,0.897776189,13571.81575
0,0,3,0,0,2,2,0,0,2,1,1,1,2,1,2,3,0,0,1,2,0,1.167073849,18.51869,5246072.938,104,0.862581336,7723.815472
0,1,3,2,1,0,3,3,0,0,1,1,1,1,2,3,1,1,1,0,0,2,1.37709673,13.361998,5249724.769,95,0.870763953,5418.175768
0,0,5,0,1,1,1,2,0,1,2,1,0,1,2,1,1,0,1,2,1,0,1.085011108,15.64919,5279698.672,93,0.802342645,9214.214841
0,0,0,0,2,1,1,0,0,1,0,1,1,0,2,2,0,2,2,1,1,0,1.216355032,12.349354,5127242.789,92,0.799156211,4947.000886
0,1,2,2,1,1,2,4,1,1,1,0,1,1,0,0,2,1,2,2,0,2,0.95471988,19.31998,6195899.01,91,0.846873928,9091.864288
0,0,3,2,3,0,0,3,1,0,2,1,0,2,2,3,1,1,0,2,2,1,1.38248167,18.64338,5879884.146,90,0.966196343,11188.15761
0,1,1,1,2,2,2,4,0,2,2,1,0,1,0,1,3,0,2,0,0,0,0.979642945,21.78268,5652879.333,90,0.858812161,10589.90938
0,1,5,0,2,2,2,2,0,2,3,1,1,1,1,0,2,2,2,0,1,0,0.96510435,22.99901,5820995.741,90,0.876631101,14631.74612
0,1,1,0,3,0,1,4,0,0,1,0,1,1,0,0,3,2,0,2,0,1,1.362359148,17.19032,5566377.989,89,0.927024291,5932.126196
0,0,3,0,1,2,2,2,0,2,2,0,0,2,2,1,0,2,0,0,2,2,1.128840044,14.691899,5465395.726,87,0.814326091,8433.41306
0,0,0,0,1,1,2,0,1,0,3,1,1,2,1,1,3,0,1,1,0,1,1.221127488,17.6143,5434179.409,85,0.878725834,22568.60691
0,0,5,2,0,1,0,4,0,0,1,1,0,0,2,3,0,2,1,0,2,1,1.260085146,12.385844,5307756.272,85,0.822806235,6292.793694
0,0,0,1,2,0,3,2,0,0,2,1,0,2,2,3,2,1,1,0,1,2,1.437272521,13.122275,5112524.819,84,0.881377434,7229.484376
0,0,2,2,2,1,0,4,0,1,3,0,0,2,0,1,0,1,0,1,2,2,1.125847497,14.097846,5379660.574,84,0.802086325,9589.346931
0,0,4,2,0,0,0,4,1,0,1,0,0,2,0,0,2,0,0,1,1,1,1.395101295,12.158642,5234535.784,84,0.861573351,5687.111196
0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,3,1,1,0,1,0,1,1.418462425,12.171815,5249246.313,82,0.870222041,5051.823213
0,1,3,1,0,2,2,0,0,2,1,1,1,1,0,3,2,2,1,2,0,1,1.078132528,19.64284,5787013.187,81,0.872331439,7803.523282
0,0,4,2,1,2,2,3,0,2,1,0,0,1,2,2,2,1,2,2,2,1,1.069339773,19.89056,5663541.587,80,0.866472821,8133.22774
0,1,1,0,0,4,4,2,1,1,2,1,0,1,2,2,1,0,0,2,2,0,0.903457533,18.454934,6410472.362,79,0.829654918,15781.62633
0,1,5,1,0,3,0,4,1,0,1,0,1,1,0,3,2,2,1,0,1,2,1.136540399,15.997948,6068540.247,79,0.861447055,7935.027763
